n_samples,n_features,imbalance_ratio,class_separation,roc_auc,balanced_accuracy,precision,recall,f1_score,best_params
100,300,0.2,1.4,0.921875,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 2, 'classifier__max_depth': 10, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.3,0.8,0.5595238095238095,0.5119047619047619,0.5941176470588235,0.65,0.6086021505376344,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 8, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.5)}"
100,300,0.3,1.0,0.6785714285714286,0.5,0.48999999999999994,0.7,0.5764705882352941,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(25), 'classifier__min_child_weight': 1, 'classifier__max_depth': 7, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.3,1.2,0.7023809523809523,0.42857142857142855,0.4666666666666666,0.6,0.525,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 1, 'classifier__max_depth': 5, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.7)}"
100,300,0.3,1.4,0.5833333333333333,0.5,0.48999999999999994,0.7,0.5764705882352941,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(25), 'classifier__min_child_weight': 4, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(0.01), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.4,0.8,0.37500000000000006,0.4166666666666667,0.4373626373626374,0.45,0.44266666666666665,"{'classifier__scale_pos_weight': 1, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,300,0.4,1.0,0.59375,0.4791666666666667,0.4862745098039215,0.55,0.48652037617554866,"{'classifier__scale_pos_weight': 2, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 10, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.6)}"
100,300,0.4,1.2,0.5104166666666667,0.5625,0.7789473684210526,0.65,0.5534050179211469,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 2, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.5)}"
100,300,0.4,1.4,0.7291666666666666,0.5833333333333333,0.6549019607843137,0.65,0.6006269592476489,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(125), 'classifier__min_child_weight': 4, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,600,0.1,0.8,0.5138888888888888,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 4, 'classifier__max_depth': 3, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,600,0.1,1.0,0.9722222222222222,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(625), 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7)}"
100,600,0.1,1.2,0.8055555555555556,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(3125), 'classifier__min_child_weight': 1, 'classifier__max_depth': 9, 'classifier__learning_rate': np.float64(1.0), 'classifier__colsample_bytree': np.float64(0.7999999999999999)}"
100,600,0.1,1.4,0.5277777777777778,0.5,0.8099999999999999,0.9,0.8526315789473683,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(25), 'classifier__min_child_weight': 4, 'classifier__max_depth': 7, 'classifier__learning_rate': np.float64(0.31622776601683794), 'classifier__colsample_bytree': np.float64(0.5)}"
100,600,0.2,0.8,0.6015625,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 3, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 2, 'classifier__max_depth': 5, 'classifier__learning_rate': np.float64(0.03162277660168379), 'classifier__colsample_bytree': np.float64(0.7)}"
100,600,0.2,1.0,0.5625,0.5,0.64,0.8,0.711111111111111,"{'classifier__scale_pos_weight': 4, 'classifier__n_estimators': np.int64(5), 'classifier__min_child_weight': 2, 'classifier__max_depth': 4, 'classifier__learning_rate': np.float64(0.1), 'classifier__colsample_bytree': np.float64(0.8999999999999999)}"
